,Artist,Total_Days,q25Tempo,q50Tempo,q75Tempo,q25Valence,q50Valence,q75Valence,q25Danceability,q50Danceability,q75Danceability,q25Energy,q50Energy,q75Energy,q25Acousticness,q50Acousticness,q75Acousticness,Label
0,Dean Lewis,437,110.3955,115.82499999999999,121.25450000000001,0.51025,0.5775,0.64475,0.568,0.583,0.598,0.62425,0.6625000000000001,0.7007500000000001,0.5687500000000001,0.6115,0.65425,0.0
1,Brenda Lee,93,67.196,67.196,67.196,0.898,0.898,0.898,0.589,0.589,0.589,0.472,0.472,0.472,0.614,0.614,0.614,0.0
2,Andy Williams,91,132.70175,155.8285,178.95525,0.78325,0.7905,0.79775,0.32275,0.4055,0.48825,0.607,0.616,0.625,0.7345,0.745,0.7555,0.0
3,Burl Ives,87,143.51250000000002,146.558,149.6035,0.8264999999999999,0.847,0.8675,0.67325,0.6765,0.67975,0.30000000000000004,0.325,0.35,0.602,0.625,0.6479999999999999,0.0
4,Chris Lane,84,148.00525,151.9995,155.99375,0.661,0.678,0.6950000000000001,0.518,0.5429999999999999,0.568,0.7995,0.8029999999999999,0.8065,0.44299999999999995,0.496,0.549,0.0
5,Lee Brice,83,140.975,140.975,140.975,0.599,0.599,0.599,0.655,0.655,0.655,0.56,0.56,0.56,0.7490000000000001,0.7490000000000001,0.7490000000000001,0.0
6,José Feliciano,65,148.82,148.82,148.82,0.963,0.963,0.963,0.512,0.512,0.512,0.831,0.831,0.831,0.552,0.552,0.552,0.0
7,Social House,64,96.051,96.051,96.051,0.8029999999999999,0.8029999999999999,0.8029999999999999,0.769,0.769,0.769,0.479,0.479,0.479,0.66,0.66,0.66,0.0
8,Chuck Berry,62,152.132,152.132,152.132,0.957,0.957,0.957,0.6809999999999999,0.6809999999999999,0.6809999999999999,0.715,0.715,0.715,0.812,0.812,0.812,0.0
9,Daryl Hall & John Oates,45,147.88799999999998,167.058,168.2885,0.8285,0.84,0.871,0.6194999999999999,0.6659999999999999,0.7084999999999999,0.592,0.6829999999999999,0.762,0.34750000000000003,0.461,0.537,0.0
10,Gene Autry,31,96.628,96.628,96.628,0.976,0.976,0.976,0.8340000000000001,0.8340000000000001,0.8340000000000001,0.3720000000000001,0.3720000000000001,0.3720000000000001,0.799,0.799,0.799,0.0
11,Walker Hayes,24,120.013,120.013,120.013,0.883,0.883,0.883,0.846,0.846,0.846,0.711,0.711,0.711,0.496,0.496,0.496,0.0
12,Mason Ramsey,18,159.84799999999996,159.84799999999996,159.84799999999996,0.564,0.564,0.564,0.534,0.534,0.534,0.815,0.815,0.815,0.708,0.708,0.708,0.0
13,Ella Fitzgerald,11,96.30175,115.7875,135.27325,0.692,0.74,0.788,0.5257499999999999,0.5435,0.56125,0.34075,0.39449999999999996,0.44825,0.74075,0.7484999999999999,0.75625,0.0
14,Marvin Gaye,5,129.991,129.991,129.991,0.8,0.8,0.8,0.6629999999999999,0.6629999999999999,0.6629999999999999,0.6,0.6,0.6,0.43,0.43,0.43,0.0
15,Leona Lewis,5,112.994,112.994,112.994,0.767,0.767,0.767,0.6409999999999999,0.6409999999999999,0.6409999999999999,0.794,0.794,0.794,0.4970000000000001,0.4970000000000001,0.4970000000000001,0.0
16,Chantel Jeffries,5,111.982,111.982,111.982,0.649,0.649,0.649,0.865,0.865,0.865,0.529,0.529,0.529,0.769,0.769,0.769,0.0
17,Bass Santana,5,109.19800000000001,129.997,137.4815,0.5495,0.703,0.7575000000000001,0.6895,0.823,0.8795,0.47150000000000003,0.514,0.577,0.36850000000000005,0.552,0.6495,0.0
18,Kay Starr,4,141.487,141.487,141.487,0.79,0.79,0.79,0.672,0.672,0.672,0.355,0.355,0.355,0.493,0.493,0.493,0.0
19,The Citizens of Halloween,4,167.62400000000005,167.62400000000005,167.62400000000005,0.647,0.647,0.647,0.569,0.569,0.569,0.508,0.508,0.508,0.768,0.768,0.768,0.0
20,Zac Brown Band,3,169.864,169.864,169.864,0.807,0.807,0.807,0.5660000000000001,0.5660000000000001,0.5660000000000001,0.713,0.713,0.713,0.645,0.645,0.645,0.0
21,Jessie J,3,140.67700000000002,140.67700000000002,140.67700000000002,0.684,0.684,0.684,0.626,0.626,0.626,0.6759999999999999,0.6759999999999999,0.6759999999999999,0.608,0.608,0.608,0.0
22,Chris Rea,3,180.225,180.225,180.225,0.894,0.894,0.894,0.4970000000000001,0.4970000000000001,0.4970000000000001,0.6609999999999999,0.6609999999999999,0.6609999999999999,0.328,0.328,0.328,0.0
23,Lou Monte,3,113.237,113.237,113.237,0.963,0.963,0.963,0.807,0.807,0.807,0.473,0.473,0.473,0.68,0.68,0.68,0.0
24,Johnny Mathis,2,103.178,103.178,103.178,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.605,0.605,0.605,0.664,0.664,0.664,0.698,0.698,0.698,0.0
25,The Rolling Stones,2,116.063,116.063,116.063,0.561,0.561,0.561,0.7020000000000001,0.7020000000000001,0.7020000000000001,0.6679999999999999,0.6679999999999999,0.6679999999999999,0.518,0.518,0.518,0.0
26,John Denver,2,84.545,84.545,84.545,0.777,0.777,0.777,0.6779999999999999,0.6779999999999999,0.6779999999999999,0.353,0.353,0.353,0.8140000000000001,0.8140000000000001,0.8140000000000001,0.0
27,Flyboy Tarantino,2,92.49175,109.0455,125.59924999999998,0.505,0.623,0.7410000000000001,0.66775,0.6955,0.72325,0.28025,0.42650000000000005,0.57275,0.53825,0.6515,0.7647499999999999,0.0
28,Screamin' Jay Hawkins,1,173.78099999999995,173.78099999999995,173.78099999999995,0.9,0.9,0.9,0.733,0.733,0.733,0.399,0.399,0.399,0.59,0.59,0.59,0.0
29,The Beatles,1,124.631,124.631,124.631,0.937,0.937,0.937,0.482,0.482,0.482,0.8490000000000001,0.8490000000000001,0.8490000000000001,0.6409999999999999,0.6409999999999999,0.6409999999999999,0.0
30,Fabolous,1,150.006,150.006,150.006,0.7809999999999999,0.7809999999999999,0.7809999999999999,0.763,0.763,0.763,0.598,0.598,0.598,0.6409999999999999,0.6409999999999999,0.6409999999999999,0.0
31,Dexys Midnight Runners,1,106.61,106.61,106.61,0.782,0.782,0.782,0.45,0.45,0.45,0.6559999999999999,0.6559999999999999,0.6559999999999999,0.664,0.664,0.664,0.0
32,Tom Petty and the Heartbreakers,1,114.512,114.512,114.512,0.777,0.777,0.777,0.55,0.55,0.55,0.8240000000000001,0.8240000000000001,0.8240000000000001,0.448,0.448,0.448,0.0
33,The Temptations,1,104.566,104.566,104.566,0.6940000000000001,0.6940000000000001,0.6940000000000001,0.5720000000000001,0.5720000000000001,0.5720000000000001,0.418,0.418,0.418,0.635,0.635,0.635,0.0
34,Tyler Childers,1,166.872,166.872,166.872,0.916,0.916,0.916,0.508,0.508,0.508,0.725,0.725,0.725,0.524,0.524,0.524,0.0
35,Cooliecut,1,119.93,119.93,119.93,0.55,0.55,0.55,0.722,0.722,0.722,0.654,0.654,0.654,0.65,0.65,0.65,0.0
36,Lil Skies,1850,90.2195,140.10299999999998,160.0845,0.4365,0.508,0.637,0.6575,0.71,0.74,0.617,0.6559999999999999,0.764,0.048350000000000004,0.102,0.1905,1.0
37,Marshmello,1704,97.52,126.816,141.99899999999997,0.2335,0.439,0.6065,0.5335000000000001,0.63,0.682,0.6705,0.821,0.89,0.01765,0.0407,0.1442,1.0
38,Luke Combs,1396,89.53625,125.004,143.55025,0.52475,0.6245,0.68125,0.49475,0.542,0.5535,0.7595000000000001,0.813,0.86,0.0121,0.0479,0.3065,1.0
39,6ix9ine,1303,95.23649999999999,127.9905,141.52200000000005,0.37975000000000003,0.521,0.63175,0.67775,0.738,0.778,0.67525,0.771,0.8445,0.03225,0.078,0.1245,1.0
40,Logic,1280,94.9415,136.9885,155.77,0.34825000000000006,0.595,0.74525,0.669,0.7444999999999999,0.8212499999999999,0.68475,0.777,0.8410000000000001,0.055099999999999996,0.11,0.16874999999999998,1.0
