,Artist,Title,Id,Tempo,Valence,Danceability,Energy,Acousticness,Days,Label,pc1,pc2
0,Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2,130.049,0.43,0.841,0.728,0.0847,742,0.0,-0.2123255707912276,-0.05837274787812243
1,Post Malone,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,123.146,0.4920000000000001,0.63,0.804,0.215,702,0.0,-0.11750604402663054,0.03558646705056457
2,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,154.084,0.579,0.643,0.7829999999999999,0.047,651,0.0,-0.2835247400701732,0.014929823384871659
3,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,119.958,0.562,0.9640000000000001,0.34600000000000003,0.035,594,0.0,-0.14114865091341966,-0.0020809311412862816
4,Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z,136.048,0.65,0.816,0.726,0.099,544,0.0,-0.2864843010543296,0.12253680634946089
5,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,155.00799999999995,0.446,0.8340000000000001,0.73,0.00513,543,0.0,-0.2884960743171239,-0.08650853967225917
6,Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom,82.014,0.6809999999999999,0.579,0.904,0.193,533,0.0,-0.22287077906612063,0.16280707632683156
7,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,100.015,0.6709999999999999,0.687,0.792,0.191,528,0.0,-0.20523599797134295,0.1667804611672318
8,Bazzi,Mine,7uzmGiiJyRfuViKKK3lVmR,142.929,0.7170000000000001,0.71,0.789,0.0161,509,0.0,-0.37790280418491146,0.1163798056290345
9,BlocBoy JB,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,140.02200000000002,0.595,0.922,0.581,0.0010400000000000001,494,0.0,-0.2948326845089004,0.02636368861154419
10,YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,115.007,0.74,0.759,0.73,0.145,490,0.0,-0.2642070100329865,0.20561401292078596
11,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,93.39399999999999,0.757,0.586,0.909,0.0891,466,0.0,-0.3390061049076904,0.1672015555391413
12,Lil Skies,Lust,7oJrVhiTPZGBXWPwhxjy9S,160.084,0.519,0.718,0.767,0.138,425,0.0,-0.21064697471235888,0.034292404223278616
13,Flipp Dinero,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,150.024,0.742,0.792,0.743,0.107,417,0.0,-0.3272739770728354,0.2019972596519436
14,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,124.949,0.6659999999999999,0.7759999999999999,0.78,0.0622,412,0.0,-0.3287868889801508,0.10878249028073289
15,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,130.032,0.845,0.736,0.67,0.18600000000000005,401,0.0,-0.24908753870513267,0.3074880631738501
16,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,99.993,0.615,0.935,0.552,0.111,400,0.0,-0.19154799316314403,0.09519208872153202
17,Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,96.92399999999999,0.552,0.698,0.633,0.0605,375,0.0,-0.17287815311017976,-0.020213290665846772
18,Kodak Black,ZEZE,0FZ4Dmg8jJJAPJnvBIzD9z,98.04299999999999,0.504,0.861,0.603,0.0521,338,0.0,-0.19186378432353893,-0.03676694204727422
19,Jonas Brothers,Sucker,22vgEDb5hykfaTwLuskFGD,137.958,0.9520000000000001,0.8420000000000001,0.7340000000000001,0.0427,330,0.0,-0.4620216840340054,0.33634159123417123
20,Cardi B,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,125.022,0.485,0.9259999999999999,0.703,0.0659,325,0.0,-0.2573674788026172,-0.014198054956587183
21,Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,181.982,0.508,0.8170000000000001,0.816,0.00263,319,0.0,-0.36808293620412474,-0.025171816405839143
22,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,133.002,0.628,0.7190000000000001,0.7040000000000001,0.0691,314,0.0,-0.25856293198389957,0.06673314303922186
