,Artist,Title,Id,Tempo,Valence,Danceability,Energy,Acousticness,Days,Label,pc1,pc2
0,Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z,136.048,0.65,0.816,0.726,0.099,544,0.0,-0.28370640705699135,0.13101470160263354
1,Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom,82.014,0.6809999999999999,0.579,0.904,0.193,533,0.0,-0.18883245399266615,0.20893046790091818
2,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,100.015,0.6709999999999999,0.687,0.792,0.191,528,0.0,-0.18406672190750478,0.19740105498401453
3,Bazzi,Mine,7uzmGiiJyRfuViKKK3lVmR,142.929,0.7170000000000001,0.71,0.789,0.0161,509,0.0,-0.36821347807516447,0.1420928765740681
4,YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,115.007,0.74,0.759,0.73,0.145,490,0.0,-0.25077022680222605,0.23809923725729545
5,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,93.394,0.757,0.586,0.909,0.0891,466,0.0,-0.30846754297087625,0.22691900814785496
6,Flipp Dinero,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,150.024,0.742,0.792,0.743,0.107,417,0.0,-0.31921925282047187,0.21101316908985535
7,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,124.949,0.6659999999999999,0.7759999999999999,0.78,0.0622,412,0.0,-0.32198362049777113,0.13202342254506655
8,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,130.032,0.845,0.736,0.67,0.18600000000000005,401,0.0,-0.23153138394548065,0.34074803181325974
9,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,99.993,0.615,0.935,0.552,0.111,400,0.0,-0.20208827330547383,0.12569799527191486
10,Jonas Brothers,Sucker,22vgEDb5hykfaTwLuskFGD,137.958,0.952,0.8420000000000001,0.7340000000000001,0.0427,330,0.0,-0.452249458608977,0.38570482124471867
11,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,133.002,0.628,0.7190000000000001,0.7040000000000001,0.0691,314,0.0,-0.2530104577020923,0.08563318234528909
12,DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,75.445,0.8440000000000001,0.8759999999999999,0.662,0.0608,305,0.0,-0.34002716939799454,0.3234998543321134
13,Famous Dex,JAPAN,5PTG6rrL6EPFD9E2QMI2pl,175.985,0.841,0.733,0.6779999999999999,0.121,299,0.0,-0.310324287492133,0.28612269701055937
14,Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,126.058,0.779,0.8,0.585,0.264,286,0.0,-0.12826194382364278,0.32080203555237424
15,Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,101.956,0.8420000000000001,0.7979999999999999,0.675,0.0912,260,0.0,-0.3105217039341067,0.3148845746479517
16,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,103.073,0.742,0.6629999999999999,0.708,0.0337,242,0.0,-0.2866757862279577,0.18152127912611102
17,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,95.881,0.617,0.8420000000000001,0.8009999999999999,0.157,237,0.0,-0.24597276928920864,0.15292435732378723
18,French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,97.985,0.733,0.726,0.769,0.0293,232,0.0,-0.33343350413361444,0.18435184104402447
19,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,116.947,0.75,0.759,0.54,0.037000000000000005,223,0.0,-0.2522873794296562,0.18644367180691118
20,DaBaby,Goin Baby,3WyRgi8CzQnhzO0xw79tTS,132.906,0.6779999999999999,0.755,0.772,0.128,214,0.0,-0.2695048514364438,0.1667795258726501
21,Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,85.02600000000002,0.7140000000000001,0.7709999999999999,0.6709999999999999,0.00929,210,0.0,-0.30509762586158995,0.1636868436292923
22,Shawn Mendes,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,123.911,0.8640000000000001,0.6920000000000001,0.809,0.524,209,0.0,-0.02235721913298592,0.5189253591428801
23,Ellie Goulding,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,75.025,0.759,0.657,0.768,0.108,208,0.0,-0.24409734122698606,0.24676820400991897
24,Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,153.06799999999996,0.575,0.8759999999999999,0.7859999999999999,0.0627,207,0.0,-0.3424889827457349,0.047854043107713524
25,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,129.014,0.8140000000000001,0.8390000000000001,0.81,0.501,206,0.0,-0.07636905117617128,0.47757135826344504
26,Demi Lovato,Sorry Not Sorry,7gvd8xj4QgPqbQSsn5pV7d,144.077,0.887,0.705,0.64,0.0237,205,0.0,-0.35606476462972886,0.2929072510829192
27,Lil Baby,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,158.89600000000004,0.698,0.6759999999999999,0.578,0.0509,199,0.0,-0.2359830618991721,0.11787751873376949
28,Tiësto,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,128.005,0.687,0.747,0.8340000000000001,0.374,198,0.0,-0.10573916213880244,0.2929765119808958
29,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,136.041,0.639,0.878,0.619,0.0533,196,0.0,-0.287709346861605,0.10148403679009414
30,Lizzo,Juice,0k664IuFwVP557Gnx7RhIl,119.93,0.843,0.767,0.889,0.00611,195,0.0,-0.47397060908590255,0.2762055167575785
31,Luke Combs,Beer Never Broke My Heart,3RzcoFkZ0AOp2nH71jP504,77.0,0.64,0.54,0.863,0.0138,193,0.0,-0.2765698540713088,0.08411286434940647
32,Lil Dicky,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,133.123,0.755,0.755,0.599,0.147,192,0.0,-0.20454107594885748,0.23697800627460863
33,NAV,Wanted You (feat. Lil Uzi Vert),1Faq8G2y56A8fRv7HsLq25,146.93,0.623,0.797,0.731,0.229,184,0.0,-0.17574598231083757,0.15903565836949413
34,Bruno Mars,Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,105.115,0.926,0.7040000000000001,0.8590000000000001,0.0185,181,0.0,-0.45051294880665715,0.3559657123716161
35,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,132.055,0.8859999999999999,0.753,0.6859999999999999,0.0677,179,0.0,-0.35224760589549914,0.3259715516115551
36,Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,123.994,0.5920000000000001,0.7909999999999999,0.862,0.037000000000000005,176,0.0,-0.35614850524069847,0.05895694325895164
37,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,93.989,0.6559999999999999,0.737,0.86,0.11,174,0.0,-0.2857527542524335,0.15869226735506473
38,Lil Nas X,Old Town Road,2YpeDb67231RjR0MgVLzsG,136.041,0.639,0.878,0.619,0.0533,174,0.0,-0.287709346861605,0.10148403679009414
39,Saweetie,My Type,5KBARWIxeMGkvUax9VtVC9,105.038,0.5870000000000001,0.899,0.8109999999999999,0.000677,172,0.0,-0.3853046826567498,0.05646850692747869
40,Jhay Cortez,No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,91.984,0.5770000000000001,0.794,0.79,0.14400000000000002,171,0.0,-0.2171837140669293,0.10558921754614413
41,YNW Melly,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,94.998,0.695,0.932,0.547,0.0388,170,0.0,-0.2809018933669016,0.16774674270792433
42,Kane Brown,What Ifs,7zVCrzzEJU7u24sbJPXA5W,125.976,0.687,0.612,0.799,0.00898,167,0.0,-0.32290101726127246,0.10782401468795061
43,Lil Skies,Creeping (feat. Rich the Kid),7ms3VzLTfr7fXNOqA4Mkx9,160.085,0.6829999999999999,0.7290000000000001,0.687,0.0108,164,0.0,-0.3301999135294516,0.09725903394373948
44,Florida Georgia Line,Simple,4L9Ds4mpD3SuYoWwFUlv16,199.811,0.8640000000000001,0.362,0.882,0.0791,164,0.0,-0.3291359074361218,0.24377809305958856
45,Lil Uzi Vert,New Patek,0Fpen1PTuEnCmOJtUU9Iud,145.063,0.718,0.85,0.785,0.0367,161,0.0,-0.4009191813546058,0.16801330134104334
46,Kodak Black,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,119.985,0.74,0.91,0.366,0.0996,160,0.0,-0.17547909619216875,0.21331866015214887
47,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,129.989,0.6779999999999999,0.778,0.5589999999999999,0.128,160,0.0,-0.17871072239140864,0.15938668387565755
48,Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,116.879,0.785,0.64,0.74,0.0115,149,0.0,-0.3344875378987676,0.2035195995069959
49,XXXTENTACION,BAD!,69dXVFCMiz3SL1L7M24NdX,129.875,0.746,0.799,0.526,0.334,147,0.0,-0.03720441907827485,0.3176133800802069
50,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9,149.96200000000005,0.632,0.8079999999999999,0.617,0.113,146,0.0,-0.22217639503805045,0.10768244022905354
51,Post Malone,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,76.388,0.667,0.542,0.674,0.0588,145,0.0,-0.1660473646893133,0.12002144820384544
52,NLE Choppa,Camelot,4sWuPniHClkInYAnzXAYUF,175.041,0.762,0.787,0.713,0.0849,139,0.0,-0.34322091401140464,0.20555220749790726
53,Migos,Slippery (feat. Gucci Mane),6p8NuHm8uCGnn2Dtbtf7zE,141.967,0.741,0.92,0.674,0.307,138,0.0,-0.17300317667857873,0.31744531317531094
54,Nicky Jam,X,5YUyW9opqNsMSEzzecZih1,179.968,0.6940000000000001,0.594,0.7490000000000001,0.0338,137,0.0,-0.3096890203235819,0.09607970344117694
55,Jonas Brothers,Only Human,0DiDStADDVh3SvAsoJAFMk,94.01,0.8740000000000001,0.795,0.496,0.108,136,0.0,-0.2219929529732745,0.3457166980793569
56,Lil Wayne,Uproar,3wScL5W8H40zzCKN0atfBk,99.075,0.884,0.743,0.87,0.0595,134,0.0,-0.4184036803117538,0.3442078622077717
57,Portugal. The Man,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,79.028,0.754,0.8009999999999999,0.795,0.0417,131,0.0,-0.358210332594368,0.22844034611676733
58,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,97.986,0.6679999999999999,0.857,0.621,0.14800000000000002,131,0.0,-0.19617489829200851,0.18684594010297895
59,Cardi B,Please Me,0PG9fbaaHFHfre2gUVo7AN,133.99200000000002,0.65,0.747,0.57,0.0642,130,0.0,-0.21418306322608796,0.09929304342939699
60,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,105.027,0.609,0.7859999999999999,0.8079999999999999,0.0846,130,0.0,-0.2880007546012475,0.10171927974390851
61,Lunay,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,92.016,0.8,0.795,0.7829999999999999,0.361,128,0.0,-0.12929418834652306,0.4104885179236698
62,Marshmello,Project Dreams,6GSkLS2y4ZnnZsuRAj975K,160.113,0.7859999999999999,0.78,0.828,0.409,127,0.0,-0.14326989232007944,0.3890946003352378
63,Comethazine,Walk,21kOVEG3bDCVphKhXL8XmQ,160.063,0.7440000000000001,0.831,0.795,0.221,125,0.0,-0.2753885082385965,0.26819902879414825
64,DaBaby,VIBEZ,0fySG6A6qLE8IvDpayb5bM,154.187,0.777,0.768,0.652,0.113,125,0.0,-0.280168560851369,0.23631214586233634
65,DaBaby,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,126.77,0.836,0.769,0.787,0.189,125,0.0,-0.2887495507684291,0.3455851138500548
66,Lil Pump,Gucci Gang,43ZyHQITOjhciSUUNPVRHc,119.889,0.6990000000000001,0.936,0.523,0.239,122,0.0,-0.13345944983140903,0.2513802578263402
